Name,Location,Distance from downtown,Description,Current price (€),More information,Website
citizenM Dublin St Patrick's,"Dublin City Centre, Dublin",1.2 km ,King Room • 1 king bed,€ 213,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Maples House Hotel,Dublin,1.9 km ,Twin Room • 2 twin beds,€ 140,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Lansdowne Hotel,"Ballsbridge, Dublin",2.3 km ,Twin Room • 2 twin beds,€ 156,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Address Connolly,"Dublin City Centre, Dublin",0.7 km ,"Classic Triple Room • 2 beds (1 twin, 1 full)",€ 224,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Moxy Dublin City,"Dublin City Centre, Dublin",150 m ,Queen Room • 1 queen bed,€ 205,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Merry Cobbler,"Ballsbridge, Dublin",2.8 km ,Double Room • 1 full bed,€ 168,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
"The Morrison Dublin, Curio Collection by Hilton","Dublin City Centre, Dublin",0.5 km ,King Guest Room • 1 king bed,€ 247,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Hilton Garden Inn Dublin City Centre,"Dublin City Centre, Dublin",0.9 km ,Queen Room • 1 queen bed,€ 199,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Bonnington Hotel & Leisure Centre,Dublin,3.2 km ,Classic Double or Twin Room • 1 double or 2 twins,€ 169,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Phoenix Park Hotel,Dublin,2.3 km ,Twin Room • 2 twin beds,€ 146,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Croke Park Hotel,"Drumcondra, Dublin",1.3 km ,Double Classic Queen Bed • 1 queen bed,€ 191,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Clayton Hotel Cardiff Lane,"Dublin City Centre, Dublin",1.4 km ,Executive King Room • 1 king bed,€ 255,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Waterloo Town House & Suites,"Ballsbridge, Dublin",2.3 km ,Double Room • 1 queen bed,€ 183,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Harding Hotel,"Temple Bar, Dublin",0.9 km ,Double or Twin Room • Multiple bed types,€ 185,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Stauntons on the Green Hotel,"Saint Stephen's Green, Dublin",1.5 km ,Small Double Room • 1 full bed,€ 276,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Blooms Hotel,"Temple Bar, Dublin",0.6 km ,Twin Room • 2 twin beds,€ 209,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Alex,"Dublin City Centre, Dublin",1.1 km ,King Room • 1 king bed,€ 273,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Arlington Hotel O'Connell Bridge,"Dublin City Centre, Dublin",300 m ,Standard Twin Room • 2 twin beds,€ 176,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
